alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Via Belvedere,SABBIO CHIESE,<0.05,<1,203,52.1,0.11,3,391,Dicembre 2019,22.8,<0.1,24.9,<5,5,<0.02,8.1,0.7,274,2.3,20
Via Bertella,SABBIO CHIESE,<0.05,<1,203,52.1,0.11,3,391,Dicembre 2019,22.8,<0.1,24.9,<5,5,<0.02,8.1,0.7,274,2.3,20
Via Odolo,SABBIO CHIESE,<0.05,<1,203,52.1,0.11,3,391,Dicembre 2019,22.8,<0.1,24.9,<5,5,<0.02,8.1,0.7,274,2.3,20
Via San Giovanni,SABBIO CHIESE,<0.05,<1,208,39.6,0.08,<2,366,Dicembre 2019,21.9,0.1,29.3,<5,5,<0.02,8.0,<0.5,256,0.6,6
Via San Lorenzo,SABBIO CHIESE,<0.05,<1,249,64.6,<0.05,<2,438,Dicembre 2019,26.4,<0.1,24.0,<5,6,<0.02,8.0,<0.5,307,0.8,6
Via San Martino,SABBIO CHIESE,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Cimitero,SALE MARASINO,<0.05,<1,243,70.1,0.08,5,447,Dicembre 2019,26.0,<0.1,21.6,<5,10,<0.02,7.4,1.3,313,3.4,9
Via Boschetti,SALE MARASINO,<0.05,<1,243,70.1,0.08,5,447,Dicembre 2019,26.0,<0.1,21.6,<5,10,<0.02,7.4,1.3,313,3.4,9
Via Dante,SALE MARASINO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Presso,SALE MARASINO,<0.05,<1,243,70.1,0.08,5,447,Dicembre 2019,26.0,<0.1,21.6,<5,10,<0.02,7.4,1.3,313,3.4,9
Via Riva,SALE MARASINO,<0.05,<1,205,41.5,<0.05,<2,351,Dicembre 2019,21.0,<0.1,24.9,<5,4,<0.02,7.9,<0.5,246,0.6,4
Via Valle,SALE MARASINO,<0.05,<1,235,58.2,0.06,2,411,Dicembre 2019,24.7,<0.1,25.2,<5,4,<0.02,7.4,<0.5,288,1.0,7
