alias_address,alias_city,georeferencingString,geocode,geometry
SS 13-TANGENZIALE,UDINE,UDINE SS 13-TANGENZIALE,"Tangenziale Ovest, Cormôr Basso, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.198173, 46.0651107]}"
STRADA TANGENZIALE OVEST SS 13 KM127 464,UDINE,UDINE STRADA TANGENZIALE OVEST SS 13 KM127 464,,
TANGENZIALE OVEST,UDINE,UDINE TANGENZIALE OVEST,"Tangenziale Ovest, Cormôr Basso, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2047523, 46.050607]}"
TANGENZIALE OVEST S.S. 13 KM 128 830,UDINE,UDINE TANGENZIALE OVEST S.S. 13 KM 128 830,,
VIA A. BATTISTELLA,UDINE,UDINE VIA A. BATTISTELLA,"Via Antonio Battistella, Chiavris, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2412843, 46.0745162]}"
VIA A. BERETTA,UDINE,UDINE VIA A. BERETTA,"Via Angelo Beretta, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2655763, 46.0784595]}"
VIA A. DE RUBEIS,UDINE,UDINE VIA A. DE RUBEIS,"De Rubeis, Via Bernardo De Rubeis, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2356923, 46.0567037]}"
VIA A. E A. CANDOLINI,UDINE,UDINE VIA A. E A. CANDOLINI,,
VIA A. MALIGNANI,UDINE,UDINE VIA A. MALIGNANI,"Ist. Malignani, Viale Leonardo da Vinci, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2209409, 46.0694241]}"
VIA A. MISTRUZZI,UDINE,UDINE VIA A. MISTRUZZI,"Via Aurelio Mistruzzi, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2506672, 46.0523036]}"
VIA A. RISTORI,UDINE,UDINE VIA A. RISTORI,,
VIA A. ZANUSSI,UDINE,UDINE VIA A. ZANUSSI,"Via Antonio Zanussi, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2693735, 46.0073431]}"
VIA ABBAZIA,UDINE,UDINE VIA ABBAZIA,"Via Abbazia, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2535807, 46.067568]}"
VIA ACHILLE TELLINI,UDINE,UDINE VIA ACHILLE TELLINI,"Via Achille Tellini, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.25863, 46.0273054]}"
VIA ADELAIDE RISTORI,UDINE,UDINE VIA ADELAIDE RISTORI,"Via Adelaide Ristori, Borgo di San Lazzaro, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2226971, 46.0775132]}"
VIA ADIGE,UDINE,UDINE VIA ADIGE,"Via Adige, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2569592, 46.0743813]}"
VIA ADRIA,UDINE,UDINE VIA ADRIA,"Via Adria, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2494652, 46.0292766]}"
