alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Laviosa,FRAMURA,<0.05,0.19,175.1,33,0.18,11.7,262,25/07/19,14.2,<0.05,14.4,<5,0.5,<0.05,7.8,0.5,251.8,7.4,9.2
Acquedotto Ravecca,FRAMURA,<0.05,0.19,166.6,33,0.19,11.8,263,25/07/19,14.2,<0.05,14.5,<5,0.6,<0.05,7.8,0.5,243.9,7.6,9.3
Acquedotto Setta,FRAMURA,<0.05,0.20,175.7,32,0.19,11.7,259,25/07/19,13.9,<0.05,14.3,<5,0.4,<0.05,7.8,0.5,251.1,7.3,9.2
Acquedotto Tarì,FRAMURA,<0.05,0.20,192.2,9.6,0.12,13,289,25/07/19,16.7,<0.05,34.8,<5,0.4,<0.05,8.1,0.4,273.5,6.9,16.2
Acquedotto La Spezia (P.zza S.Agostino),LA SPEZIA,<0.05,0.10,178.8,71.7,0.02,41.9,472,28/03/19,22.2,<0.05,10.5,<5,2.7,<0.05,7.4,1.7,393.6,26.4,59.9
Acquedotto La Spezia capoluogo (Capitaneria),LA SPEZIA,<0.05,0.20,199,72.3,0.02,43,502,01/10/19,20.8,<0.05,6.8,<5,8.6,<0.05,7.6,2.5,3664.4,34.8,57.3
Acquedotto Pitelli,LA SPEZIA,<0.05,0.13,212,69.9,0.02,35.6,471,17/10/19,21.2,<0.05,9.2,<5,3,<0.05,7.5,1.7,3430.1,27.9,53.8
Acquedotto Ruffino,LA SPEZIA,<0.05,<0.05,268,73.4,0.01,36.7,563,07/10/19,24.2,<0.05,14.2,<5,5.1,<0.05,7.4,1.9,2503.5,23,38.5
Acquedotto Barcola,LERICI,<0.05,0.49,175.7,64.1,0.08,32.6,416,28/03/19,19.8,<0.05,9.3,<5,1.8,<0.05,7.7,1.4,354.8,21.8,48.1
Acquedotto Lerici capoluogo,LERICI,<0.05,0.18,187,70.9,0.16,47.2,539,08/10/19,20.3,<0.05,6.4,<5,1.8,<0.05,7.7,2,4199.5,31.7,66.2
Acquedotto Senato,LERICI,<0.05,<0.05,297.8,92.3,0.31,38.6,553,20/02/19,29.4,<0.05,15.4,<5,5.5,<0.05,7.4,2.3,522.8,23.6,47.3
Acquedotto  Montale,LEVANTO,<0.05,<0.05,111.7,39.2,0.2,22.2,225,11/03/19,11.2,0.1,3.5,<5,1.5,<0.05,8.0,1,205.3,12.3,13.8
