alias_city,alias_address,georeferencingString,type
PASSIRANO,F.P. Via Fratelli Rosselli,"Via Fratelli Rosselli, PASSIRANO, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Cimitero Fraine,"Cimitero Fraine, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Cimitero Pontasio,"Cimitero Pontasio, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Govine,"Govine, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Loc. Boschetta,"Località Boschetta, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Loc. Dossello,"Località Dossello, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Pressò,"Pressò, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Renzò,"Renzò, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Siniga,"Siniga, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Sonvico Superiore,"Sonvico Superiore, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Val Palot,"Val Palot, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Via don Boldini (civ 1 inizio via),"Via don Boldini (civ 1 inizio via), PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Via don Boldini (fondo via),"Via don Boldini (fondo via), PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Via don Ceresetti,"Via don Ceresetti, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Via don Vogini,"Via don Vogini, PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Via Facchinetti (Toline),"Via Facchinetti (Toline), PISOGNE, Brescia,  Lombardia, Italia",POINT
PISOGNE,F.P. Via Imavilla (Grignaghe),"Via Imavilla (Grignaghe), PISOGNE, Brescia,  Lombardia, Italia",POINT
POLPENAZZE DEL GARDA,P.R. Via Castelletto,"Via Castelletto, POLPENAZZE DEL GARDA, Brescia,  Lombardia, Italia",POINT
POLPENAZZE DEL GARDA,P.R. Via dei Prati,"Via dei Prati, POLPENAZZE DEL GARDA, Brescia,  Lombardia, Italia",POINT
POLPENAZZE DEL GARDA,P.R. Via Novaglio,"Via Novaglio, POLPENAZZE DEL GARDA, Brescia,  Lombardia, Italia",POINT
POMPIANO,F.P. Piazza S.Andrea,"Piazza S.Andrea, POMPIANO, Brescia,  Lombardia, Italia",POINT
PONCARALE,F.P. Via Marcolini,"Via Marcolini, PONCARALE, Brescia,  Lombardia, Italia",POINT
PONCARALE,F.P. Via Mazzini,"Via Mazzini, PONCARALE, Brescia,  Lombardia, Italia",POINT
PONCARALE,F.P. Via S.Martino,"Via S.Martino, PONCARALE, Brescia,  Lombardia, Italia",POINT
PONCARALE,F.P. Via sorelle Girelli,"Via sorelle Girelli, PONCARALE, Brescia,  Lombardia, Italia",POINT
PONTOGLIO,F.P. Via Garibaldi,"Via Garibaldi, PONTOGLIO, Brescia,  Lombardia, Italia",POINT
POZZOLENGO,P.R. Piazza Alpini,"Piazza Alpini, POZZOLENGO, Brescia,  Lombardia, Italia",POINT
POZZOLENGO,P.R. Via Castello,"Via Castello, POZZOLENGO, Brescia,  Lombardia, Italia",POINT
PREVALLE,P.R. Via Gavardina,"Via Gavardina, PREVALLE, Brescia,  Lombardia, Italia",POINT
PREVALLE,P.R. Carducci,"Carducci, PREVALLE, Brescia,  Lombardia, Italia",POINT
PREVALLE,P.R. Via Bonsignori,"Via Bonsignori, PREVALLE, Brescia,  Lombardia, Italia",POINT
PROVAGLIO D’ISEO,F.P. Via Olimpia,"Via Olimpia, PROVAGLIO D’ISEO, Brescia,  Lombardia, Italia",POINT
PROVAGLIO D’ISEO,F.P. Via C. Alberto,"Via C. Alberto, PROVAGLIO D’ISEO, Brescia,  Lombardia, Italia",POINT
PROVAGLIO D’ISEO,F.P. Via Cave,"Via Cave, PROVAGLIO D’ISEO, Brescia,  Lombardia, Italia",POINT
PUEGNAGO SUL GARDA,P.R. Via Nazionale,"Via Nazionale, PUEGNAGO SUL GARDA, Brescia,  Lombardia, Italia",POINT
PUEGNAGO SUL GARDA,P.R. Via Palazzi,"Via Palazzi, PUEGNAGO SUL GARDA, Brescia,  Lombardia, Italia",POINT
PUEGNAGO SUL GARDA,P.R. Via Provinciale,"Via Provinciale, PUEGNAGO SUL GARDA, Brescia,  Lombardia, Italia",POINT
QUINZANO D’OGLIO,F.P. Via Buozzi,"Via Buozzi, QUINZANO D’OGLIO, Brescia,  Lombardia, Italia",POINT
QUINZANO D’OGLIO,F.P. Via Gandini,"Via Gandini, QUINZANO D’OGLIO, Brescia,  Lombardia, Italia",POINT
QUINZANO D’OGLIO,F.P. Via Giotto,"Via Giotto, QUINZANO D’OGLIO, Brescia,  Lombardia, Italia",POINT
REMEDELLO,P.R. Piazza Feltrinelli,"Piazza Feltrinelli, REMEDELLO, Brescia,  Lombardia, Italia",POINT
REMEDELLO,P.R. Via Garibaldi,"Via Garibaldi, REMEDELLO, Brescia,  Lombardia, Italia",POINT
REMEDELLO,P.R. Piazza Feltrinelli,"Piazza Feltrinelli, REMEDELLO, Brescia,  Lombardia, Italia",POINT
REZZATO,P.R. Via Almici,"Via Almici, REZZATO, Brescia,  Lombardia, Italia",POINT
REZZATO,P.R. Via Giovanni XXIII,"Via Giovanni XXIII, REZZATO, Brescia,  Lombardia, Italia",POINT
REZZATO,P.R. Via Monte Grappa,"Via Monte Grappa, REZZATO, Brescia,  Lombardia, Italia",POINT
ROVATO,F.P. Oratorio S. Giuseppe,"Oratorio S. Giuseppe, ROVATO, Brescia,  Lombardia, Italia",POINT
ROVATO,F.P. Via Gigli,"Via Gigli, ROVATO, Brescia,  Lombardia, Italia",POINT
ROVATO,F.P. Via Milano (Lodetto),"Via Milano (Lodetto), ROVATO, Brescia,  Lombardia, Italia",POINT
ROVATO,F.P. Via S. Anna,"Via S. Anna, ROVATO, Brescia,  Lombardia, Italia",POINT
RUDIANO,F.P. Piazza Martiri della Libertà,"Piazza Martiri della Libertà, RUDIANO, Brescia,  Lombardia, Italia",POINT
Salò,P.R. Piazza Bresciani,"Piazza Bresciani, Salò, Brescia,  Lombardia, Italia",POINT
Salò,P.R. Via Chiesa (Campoverde),"Via Chiesa (Campoverde), Salò, Brescia,  Lombardia, Italia",POINT
Salò,P.R. Via Delle Fontane (Villa),"Via Delle Fontane (Villa), Salò, Brescia,  Lombardia, Italia",POINT
Salò,P.R. Via Europa Cunettone,"Via Europa Cunettone, Salò, Brescia,  Lombardia, Italia",POINT
SAN FELICE DEL BENACO,P.R. P.zza Moniga,"P.zza Moniga, SAN FELICE DEL BENACO, Brescia,  Lombardia, Italia",POINT
SAN FELICE DEL BENACO,P.R. Via Benaco,"Via Benaco, SAN FELICE DEL BENACO, Brescia,  Lombardia, Italia",POINT
SAN FELICE DEL BENACO,P.R. Via Italia,"Via Italia, SAN FELICE DEL BENACO, Brescia,  Lombardia, Italia",POINT
SELLERO,F.P. Tioli,"Tioli, SELLERO, Brescia,  Lombardia, Italia",POINT
SELLERO,F.P. Via Caduti della Patria,"Via Caduti della Patria, SELLERO, Brescia,  Lombardia, Italia",POINT
SIRMIONE,F.P. Via Colombare,"Via Colombare, SIRMIONE, Brescia,  Lombardia, Italia",POINT
SOIANO DEL LAGO,P.R. Piazza Umberto I,"Piazza Umberto I, SOIANO DEL LAGO, Brescia,  Lombardia, Italia",POINT
SOIANO DEL LAGO,P.R. Via Brescia,"Via Brescia, SOIANO DEL LAGO, Brescia,  Lombardia, Italia",POINT
SONICO,F.P. P.zza S. Antonio,"P.zza S. Antonio, SONICO, Brescia,  Lombardia, Italia",POINT
SONICO,F.P. P.zza S. Lorenzo,"P.zza S. Lorenzo, SONICO, Brescia,  Lombardia, Italia",POINT
SONICO,F.P. Via Don Picelli,"Via Don Picelli, SONICO, Brescia,  Lombardia, Italia",POINT
SONICO,F.P. Via Valeriana,"Via Valeriana, SONICO, Brescia,  Lombardia, Italia",POINT
SULZANO,F.P. Via Pericoli,"Via Pericoli, SULZANO, Brescia,  Lombardia, Italia",POINT
SULZANO,F.P. Loc. Predabbio,"Località Predabbio, SULZANO, Brescia,  Lombardia, Italia",POINT
SULZANO,F.P. Via A. Diaz,"Via A. Diaz, SULZANO, Brescia,  Lombardia, Italia",POINT
