alias_city,alias_address,urlReport,page,data_report
SULZANO,F.P. Via Dante Alighieri,https://www.acquebresciane.it/public/dam/jcr:ca451173-c325-424d-b0d0-f87b49fc2391/Analisi_Acqua_Sulzano_1_sem_2019.pdf,3,1° semestre 2019
SULZANO,F.P. Via Vertine (Palafitte),https://www.acquebresciane.it/public/dam/jcr:ca451173-c325-424d-b0d0-f87b49fc2391/Analisi_Acqua_Sulzano_1_sem_2019.pdf,4,1° semestre 2019
TIGNALE,P.R. Piazza Cavour,https://www.acquebresciane.it/public/dam/jcr:241b8041-2396-411c-aece-fd2477edab9f/Analisi_Acqua_Tignale_1_sem_2019.pdf,0,1° semestre 2019
TIGNALE,P.R. Piazza Garibaldi,https://www.acquebresciane.it/public/dam/jcr:241b8041-2396-411c-aece-fd2477edab9f/Analisi_Acqua_Tignale_1_sem_2019.pdf,1,1° semestre 2019
TIGNALE,P.R. Piazza Ginestre,https://www.acquebresciane.it/public/dam/jcr:241b8041-2396-411c-aece-fd2477edab9f/Analisi_Acqua_Tignale_1_sem_2019.pdf,2,1° semestre 2019
TIGNALE,P.R. via Pegol,https://www.acquebresciane.it/public/dam/jcr:241b8041-2396-411c-aece-fd2477edab9f/Analisi_Acqua_Tignale_1_sem_2019.pdf,3,1° semestre 2019
TORBOLE,Cimitero,https://www.acquebresciane.it/public/dam/jcr:9ab0af76-70e7-4da6-a308-15f28b2e7284/Analisi_Acqua_TorboleCasaglia_1_sem_2019.pdf,0,1° semestre 2019
TORBOLE,F.P. Via Mazzocchi,https://www.acquebresciane.it/public/dam/jcr:9ab0af76-70e7-4da6-a308-15f28b2e7284/Analisi_Acqua_TorboleCasaglia_1_sem_2019.pdf,1,1° semestre 2019
TOSCOLANO MADERNO,P.R Via Caldera,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,0,1° semestre 2019
TOSCOLANO MADERNO,P.R. Via Cecina,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,1,1° semestre 2019
TOSCOLANO MADERNO,P.R. Via Lungolago,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,2,1° semestre 2019
TOSCOLANO MADERNO,P.R. Via Marconi,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,3,1° semestre 2019
TOSCOLANO MADERNO,P.R. Via S. Michele,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,4,1° semestre 2019
TOSCOLANO MADERNO,P.R. Via Sanico,https://www.acquebresciane.it/public/dam/jcr:9da0e6f8-1d05-4bb3-a459-78aeac415f07/Analisi_Acqua_ToscolanoMaderno_1_sem_2019.pdf,5,1° semestre 2019
